When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation,
2/26/2020,Ecuador,,,,Ecuador,Ecuador Chequea,You can maintain the alkaline state of the body to avoid contagion.,WhatsApp,not available,http://www.ecuadorchequea.com/falseta-el-tec-de-monterrey-recomienda-mantener-el-cuerpo-en-un-estado-alcalino/,Spanish,False ,Please click the link to read the full article,
3/1/2020,Spain,,,,Spain,Maldita.es,An alkaline diet can prevent coronavirus infection.,WhatsApp,not available,https://maldita.es/malditaciencia/2020/03/01/cuerpo-alcalino-no-previene-coronavirus-tec-monterrey/,Spanish,False ,"No food or diet, alkaline or otherwise, can prevent the infection",
3/25/2020,Nigeria,,,,Nigeria,AfricaCheck,Coronavirus has a pH level of 5.5 to 8.5 and can be prevented and cured by eating alkaline foods.,"Facebook, WhatsApp",https://africacheck.org/wp-content/uploads/2020/03/alkaline-1.png,https://africacheck.org/fbcheck/coronavirus-doesnt-have-own-ph-level-alkaline-food-wont-beat-it/,English,False ,"There is no evidence that the new coronavirus which causes COVID-19 has a unique pH level. And the study referred to in the claim had nothing to do with this particular virus. It was published in 1991, long before the emergence of the new virus.",
3/25/2020,India,,,,India,Factly,Eating alkaline foods of pH level above 8.5 can kill the SARS-CoV-2 virus.,Social Media,https://www.facebook.com/jbnagarrunners/posts/2850281448380922,https://factly.in/message-suggesting-that-alkaline-foods-can-kill-sars-cov-2-virus-is-fake/,English,FALSE,"The research paper published in 1991 talks about the MHV4 virus, not about the SARS-CoV-2 virus. Some of the pH levels given in the post are not correct. Also, there is no scientific evidence to prove that eating alkaline foods can kill the SARS-CoV-2 virus.",
3/29/2020,India,,,,India,The Quint,"pH level of coronavirus varies from 5.5 to 8.5 and to beat the virus, we should consume more alkaline food.","Facebook, Twitter, WhatsApp",https://www.facebook.com/100218131367421/videos/213445306640489/?v=213445306640489&external_log_id=26ce61969bd419239b95ce3c9b6aeecf&q=research%3A%20journal%20of%20virology,https://www.thequint.com/news/webqoof/no-ph-value-of-covid-19-experts-deny-its-link-with-alkaline-foods-fact-check,English,Misleading,"Dr. Shaheed Jameel, a leading virologist, said that viruses do not have pH values.",
3/31/2020,India,,,,India,Factly,Eating alkaline foods with a pH level above 8.5 can kill the SARS-CoV-2 virus.,Social Media,https://archive.fo/OO0ze,https://factly.in/telugu-message-suggesting-that-alkaline-foods-can-kill-sars-cov-2-virus-is-fake/,Telugu,FALSE,"The Journal of virology and antiviral research paper mentioned in the post talks about the 'MHV4' virus, not about the 'SARS-CoV-2' virus. Some of the pH levels given in the post are not correct. Also, there is no scientific evidence to prove that eating alkaline foods can kill the SARS-CoV-2 virus.",
4/1/2020,United States,,,,United States,LeadStories,Alkaline diet protects against the coronavirus.,Facebook,https://www.facebook.com/photo.php?fbid=3476128732413516&set=a.233371513355937&type=3&theater,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Alkaline-Diet-Does-NOT-Prevent-You-From-Getting-Coronavirus.html,English,False ,Still no current cure and no medical evidence to support this claim.,
4/2/2020,Bolivia,,,,Bolivia,Bolivia Verifica,Alkaline food helps counter COVID-19.,WhatsApp,screenshots: https://boliviaverifica.bo/los-alimentos-alcalinos-no-ayudan-a-contrarrestar-el-coronavirus/,https://boliviaverifica.bo/los-alimentos-alcalinos-no-ayudan-a-contrarrestar-el-coronavirus/,Spanish,False ,The OMS published an article denying these myths about COVID-19,x
4/2/2020,Indonesia,,,,Indonesia,TEMPO,The coronavirus can be killed by consuming alkaline foods.,WhatsApp,https://cdn.tmpo.co/data/2020/04/02/id_927837/927837_720.jpg,https://cekfakta.tempo.co/fakta/715/fakta-atau-hoaks-benarkah-virus-corona-bisa-dibunuh-dengan-konsumsi-makanan-alkali,Bahasa Indonesia,False ,"This claim cites research published in 1991, long before the coronavirus appeared in December 2019. Viruses, including the coronavirus, have no pH. Therefore, consumption of alkaline foods with a higher pH cannot kill the coronavirus.",x
4/4/2020,Venezuela,,,,Venezuela,Efecto Cocuyo,An alkaline diet could prevent COVID-19.,WhatsApp,,https://efectococuyo.com/cocuyo-chequea/la-dieta-alcalina-ayuda-a-prevenir-la-covid-19/,Spanish,False ,There is no relation between alkaline food and the way the virus interacts with the body.,
4/5/2020,Philippines,,,,Philippines,Rappler,Posts that are circulating on Facebook say that people need to eat alkaline food in order to prevent a novel coronavirus infection.,Several Facebook pages and accounts,,https://www.rappler.com/newsbreak/fact-check/257413-alkaline-food-lemons-prevent-coronavirus-infection,English,FALSE,"Eating alkaline food and drinking lemon with baking soda in hot water is not an official cure for COVID-19. As of Thursday, April 9, the World Heath Organization (WHO) has said there is no medicine that can prevent or cure this disease",
4/6/2020,Spain,,,,Spain,Maldita.es,A Whatsapp chain that says that consuming alkaline foods helps fight coronavirus.,WhatsApp,,https://maldita.es/malditobulo/2020/04/06/no-consumir-alimentos-alcalinos-no-ayuda-a-combatir-el-coronavirus/,Spanish,False ,"Although it is true that the acidity or alkalinity levels of the environment can affect the virus, it is not that we can change the pH of our body with what we eat and thus combat coronavirus infection.",
4/6/2020,Taiwan,,,,Taiwan,Taiwan FactCheck Center,"The pH value of COVID-19 is between 5.5 and 8.5 so you should have alkaline food with a pH higher than 8.5 to kill the virus -- such as lemon, garlic or pineapple.","Line, Facebook",https://www.facebook.com/photo.php?fbid=2818667471536376&set=a.123627457707071&type=3&theater,https://tfc-taiwan.org.tw/articles/3557,Chinese (traditional),False ,"Highly alkaline to acidic can destabilize the virus. Still, this method can only apply to environmental disinfection since the human body regulates the pH in a very narrow range, and humans cannot adjust the pH level out of its normal range by having alkaline or acidic food.",
4/7/2020,Argentina,Spain,Venezuela ,Bolivia,"Argentina, Spain, Venezuela , Bolivia",Chequeado,Alkaline diets are effective against coronavirus.,"Whatsapp, Facebook",https://drive.google.com/file/d/1HIlw5EHptweyyiB6n35RtFYFAT2qEJ8U/view,https://chequeado.com/verificacionfb/es-falso-que-las-dietas-alcalinas-sean-efectivas-contra-el-coronavirus/,Spanish,FALSE,"According to the World Health Organization, so far there isn't any food that helps prevent or cure COVID-19.",
4/9/2020,India,,,,India,FactCrescendo,"The new coronavirus pH varies from 5.5 to 8.5. To defeat it, we need to consume more alkaline food.","Twitter, WhatsApp",https://archive.is/8LhyZ,https://english.factcrescendo.com/2020/04/10/no-coronavirus-does-not-have-any-ph-value/,English,False ,The new coronavirus does not have its own pH. It is pointless to assume that alkaline food could prevent an infection.,
4/15/2020,Brazil,,,,Brazil,Aos Fatos,Alkaline foods help prevent or treat COVID-19.,Facebook and WhatsApp posts,https://storage.googleapis.com/aosfatos_production/media/cke_uploads/2020/04/15/15-4_alimentos-alcalinos.jpg,https://aosfatos.org/noticias/alimentos-alcalinos-nao-ajudam-prevenir-ou-tratar-covid-19/,Portuguese,FALSE,"Aos Fatos also did not find the study cited by the text, attributed to a “Virology Center” in Moscow, Russia. Health authorities in Brazil and the world and experts consulted by Aos Fatos say there is no evidence that the virus can be contained or treated using a specific diet.",
4/16/2020,Brazil,,,,Brazil,Agência Lupa,"Eating alkaline foods are an effective treatment against COVID-19. SARS-Cov-2 does not survive when the pH of the body is above 5.5. A few food itens with alkaline pH: orange, lemon, avocado, pineapple, mango and garlic.",WhatsApp,https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2020/04/phcapa.png,https://piaui.folha.uol.com.br/lupa/2020/04/16/verificamos-ph-alimentos-covid/,Portuguese,FALSE,"Absolutely none of this is true. There are no researches linking COVID-19 and acidity. The humam body does not have a single pH, different parts of the body have different pH. Eating alkaline food does not affect the pH of the body. And, finally, all the listed food itens, like nearly all food itens, have acidic pH, not alkaline.",
4/16/2020,United States,,,,United States,Science Feedback,What we need to do to defeat the coronavirus is to consume more alkaline foods above the virus’ pH level.,Facebook,http://archive.md/BNDUS,https://healthfeedback.org/claimreview/eating-alkaline-food-cannot-prevent-or-cure-covid-19/,English,FALSE,"Scientists have not determined the ideal pH environment for SARS-CoV-2. In addition, the cells of the tissues that SARS-CoV-2 primarily targets, including the lungs and intestines, maintain a very tightly controlled pH both inside and out in order to maintain cellular metabolism and proper enzyme activity. Altering pH in cells and tissues beyond a very narrow range would likely result in death.",
5/1/2020,Spain,,,,Spain,Newtral.es,"Consuming more alkaline foods helps ""raise the pH level"" to counteract COVID-19.",Whatsapp image,,https://www.newtral.es/bulo-ph-alimentos-covid-19-coronavirus/20200501/,Spanish,FALSE,"The pH of the blood, which under normal conditions ranges from 7.35 to 7.42, does not vary depending on one's diet.",
6/2/2020,Colombia,,,,Colombia,La Silla Vacía,Alkaline water cures the coronavirus.,Facebook,https://www.facebook.com/miguel.osorio2/videos/10158313144204634/,https://lasillavacia.com/detector-no-agua-alcalina-no-mata-nuevo-coronavirus-76967,Spanish,FALSE,Consuming alkaline beverages or food doesn't cure the virus.,
6/15/2020,Spain,,,,Spain,EFE Verifica,Eating alkaline foods with high pH eliminates the coronavirus or prevents its spread.,"Facebook, Twitter",https://twitter.com/JotaHacheBe/status/1245044904910368768,https://www.efe.com/efe/espana/efeverifica/consumir-alimentos-alcalinos-no-protege-del-coronavirus/50001435-4272618,Spanish,FALSE,Alkaline foods neither protect from COVID-19 nor even alter the pH of the blood in any significant way.,
6/25/2020,Argentina,,,,Argentina,Chequeado,Alkaline diets will help fight coronavirus.,"Facebook, Whatsapp",https://chequeado.com/wp-content/uploads/2020/06/falso-alcalina-1280x549.png,https://chequeado.com/verificacionfb/no-las-dietas-alcalinas-no-ayudan-a-combatir-el-coronavirus/,Spanish,FALSE,There is no scientific evidence to support that this type of diet is effective against the virus that causes the disease COVID-19. The World Health Organization does not recommend the consumption of any specific food to combat coronavirus.,
6/22/2020,Philippines,,,,Philippines,AFP,"A photo of a list of purported symptoms and treatments for the novel coronavirus, which causes the disease COVID-19, has been shared hundreds of times in multiple posts on Facebook, Twitter and Instagram. The purported remedies include a daily dose of vitamins; exposure to sunlight; and a diet of alkaline foods.","FB, Twitter, Insta",https://perma.cc/TRH4-D3SN,https://factcheck.afp.com/list-unsubstantiated-covid-19-treatments-circulates-online,English,FALSE,"The claims are false; as of June 29, 2020, experts say there is no known cure for COVID-19; AFP has previously debunked hoax claims about the purported coronavirus symptoms and remedies.",
6/3/2020,Bolivia,,,,Bolivia,Bolivia Verifica,Alkaline water prevents coronavirus contagion.,Facebook,https://web.archive.org/web/*/https:/www.facebook.com/noelperu.oficial/videos/821208635052954/?v=821208635052954,https://boliviaverifica.bo/el-agua-alcalina-no-evita-el-contagio-por-coronavirus/,Spanish,FALSE,"""Alkaline water has pH levels above 7, but it does not have effects that cause the body to become alkaline on scales where COVID-19 cannot survive,"" answers the question from Bolivia Verifica.",